cell,x,y,z,volume,initial,numerical,exact,error,absError
41,1.6666666666686890e-02,5.1666666666857053e-01,5.0000000000000003e-02,3.1249999999856798e-05,0.0000000000000000e+00,-5.4410565160415592e-02,-5.2264231639791180e-02,-2.1463335206244119e-03,2.1463335206244119e-03
42,1.6666666666689419e-02,5.3333333333513255e-01,5.0000000000000003e-02,3.1249999999831272e-05,0.0000000000000000e+00,-1.0231682881292060e-01,-1.0438521064720074e-01,2.0683818342801391e-03,2.0683818342801391e-03
43,8.3333333333453219e-03,5.4166666666843455e-01,5.0000000000000010e-02,3.1249999999828128e-05,0.0000000000000000e+00,-1.2548964058970410e-01,-1.3048146415944664e-01,4.9918235697425373e-03,4.9918235697425373e-03
44,8.3333333333453410e-03,5.5833333333498547e-01,5.0000000000000003e-02,3.1249999999828317e-05,0.0000000000000000e+00,-1.8720316688146940e-01,-1.8217307793409662e-01,-5.0300889473727795e-03,5.0300889473727795e-03
45,1.6666666666691921e-02,5.6666666666823862e-01,5.0000000000000003e-02,3.1249999999840359e-05,0.0000000000000000e+00,-2.0979819651025150e-01,-2.0762675507619871e-01,-2.1714414340527899e-03,2.1714414340527899e-03
46,1.6666666666694471e-02,5.8333333333479365e-01,5.0000000000000003e-02,3.1249999999840447e-05,0.0000000000000000e+00,-2.5652485308493322e-01,-2.5846434260077755e-01,1.9394895158443282e-03,1.9394895158443282e-03
47,8.3333333333478511e-03,5.9166666666809142e-01,5.0000000000000003e-02,3.1249999999837499e-05,0.0000000000000000e+00,-2.7913071152719998e-01,-2.8391801974302394e-01,4.7873082158239599e-03,4.7873082158239599e-03
48,8.3333333333478598e-03,6.0833333333464257e-01,5.0000000000000010e-02,3.1249999999837872e-05,0.0000000000000000e+00,-3.3855538566948701e-01,-3.3369247196399920e-01,-4.8629137054878036e-03,4.8629137054878036e-03
49,1.6666666666696979e-02,6.1666666666789982e-01,5.0000000000000003e-02,3.1249999999850198e-05,0.0000000000000000e+00,-3.6001992368517460e-01,-3.5787681872898375e-01,-2.1431049561908555e-03,2.1431049561908555e-03
50,1.6666666666699501e-02,6.3333333333445485e-01,5.0000000000000010e-02,3.1249999999849737e-05,0.0000000000000000e+00,-4.0441641287573787e-01,-4.0617922464563561e-01,1.7628117698977319e-03,1.7628117698977319e-03
51,8.3333333333503647e-03,6.4166666666774863e-01,5.0000000000000010e-02,3.1249999999846871e-05,0.0000000000000000e+00,-4.2589867386878089e-01,-4.3036357141073961e-01,4.4648975419587233e-03,4.4648975419587233e-03
52,8.3333333333504012e-03,6.5833333333429978e-01,5.0000000000000010e-02,3.1249999999847521e-05,0.0000000000000000e+00,-4.8157126926141058e-01,-4.7699524987244019e-01,-4.5760193889703982e-03,4.5760193889703982e-03
53,1.6666666666702051e-02,6.6666666666756091e-01,5.0000000000000010e-02,3.1249999999859583e-05,0.0000000000000000e+00,-5.0137681254940747e-01,-4.9931476737971342e-01,-2.0620451696940489e-03,2.0620451696940489e-03
54,1.6666666666704560e-02,6.8333333333411594e-01,5.0000000000000003e-02,3.1249999999859190e-05,0.0000000000000000e+00,-5.4234995293823263e-01,-5.4389262614829226e-01,1.5426732100596308e-03,1.5426732100596308e-03
55,8.3333333333529130e-03,6.9166666666740584e-01,5.0000000000000010e-02,3.1249999999856540e-05,0.0000000000000000e+00,-5.6217962714544900e-01,-5.6621214365566208e-01,4.0325165102130800e-03,4.0325165102130800e-03
56,8.3333333333529200e-03,7.0833333333395709e-01,5.0000000000000010e-02,3.1249999999856628e-05,0.0000000000000000e+00,-6.1272930969677630e-01,-6.0855282167270819e-01,-4.1764880240681146e-03,4.1764880240681146e-03
57,1.6666666666707099e-02,7.1666666666722223e-01,5.0000000000000003e-02,3.1249999999868663e-05,0.0000000000000000e+00,-6.3038822477323575e-01,-6.2845792932701616e-01,-1.9302954462195876e-03,1.9302954462195876e-03
58,1.6666666666709611e-02,7.3333333333377715e-01,5.0000000000000003e-02,3.1249999999869131e-05,0.0000000000000000e+00,-6.6692913502997198e-01,-6.6821358611922232e-01,1.2844510892503491e-03,1.2844510892503491e-03
59,8.3333333333554301e-03,7.4166666666706305e-01,5.0000000000000003e-02,3.1249999999866271e-05,0.0000000000000000e+00,-6.8461790613422235e-01,-6.8811869377360446e-01,3.5007876393821080e-03,3.5007876393821080e-03
60,8.3333333333554405e-03,7.5833333333361408e-01,5.0000000000000003e-02,3.1249999999866088e-05,0.0000000000000000e+00,-7.2879999483947244e-01,-7.2512580333257659e-01,-3.6741915068958519e-03,3.6741915068958519e-03
61,1.6666666666712130e-02,7.6666666666688343e-01,5.0000000000000003e-02,3.1249999999878041e-05,0.0000000000000000e+00,-7.4387754442467968e-01,-7.4212637132220871e-01,-1.7511731024709709e-03,1.7511731024709709e-03
62,1.6666666666714649e-02,7.8333333333343824e-01,5.0000000000000010e-02,3.1249999999878333e-05,0.0000000000000000e+00,-7.7508649564038579e-01,-7.7608090992637180e-01,9.9441428598601167e-04,9.9441428598601167e-04
63,8.3333333333579403e-03,7.9166666666672014e-01,5.0000000000000003e-02,3.1249999999875270e-05,0.0000000000000000e+00,-7.9019872662136215e-01,-7.9308147791605987e-01,2.8827512946977274e-03,2.8827512946977274e-03
64,8.3333333333579802e-03,8.0833333333327095e-01,5.0000000000000003e-02,3.1249999999875663e-05,0.0000000000000000e+00,-8.2692536321199861e-01,-8.2384378116007295e-01,-3.0815820519256576e-03,3.0815820519256576e-03
65,1.6666666666717189e-02,8.1666666666654419e-01,5.0000000000000003e-02,3.1249999999887488e-05,0.0000000000000000e+00,-8.3905047154034473e-01,-8.3752119907947686e-01,-1.5292724608678698e-03,1.5292724608678698e-03
66,1.6666666666719700e-02,8.3333333333309900e-01,5.0000000000000003e-02,3.1249999999887677e-05,0.0000000000000000e+00,-8.6415908315831291e-01,-8.6483854606652077e-01,6.7946290820786182e-04,6.7946290820786182e-04
67,8.3333333333604868e-03,8.4166666666637713e-01,5.0000000000000010e-02,3.1249999999884933e-05,0.0000000000000000e+00,-8.7632249412438112e-01,-8.7851596398596732e-01,2.1934698615861947e-03,2.1934698615861947e-03
68,8.3333333333604816e-03,8.5833333333293538e-01,5.0000000000000003e-02,3.1249999999912018e-05,0.0000000000000000e+00,-9.0468953806664687e-01,-9.0227599091494426e-01,-2.4135471517026108e-03,2.4135471517026108e-03
69,1.6666666666722230e-02,8.6666666666621950e-01,5.0000000000000003e-02,3.1249999999923429e-05,0.0000000000000000e+00,-9.1356419363611863e-01,-9.1229347534220573e-01,-1.2707182939128980e-03,1.2707182939128980e-03
70,1.6666666666724748e-02,8.8333333333286468e-01,5.0000000000000010e-02,3.1250000000209130e-05,0.0000000000000000e+00,-9.3195461126358703e-01,-9.3230098696834129e-01,3.4637570475426482e-04,3.4637570475426482e-04
71,8.3333333333630074e-03,8.9166666666622385e-01,5.0000000000000003e-02,3.1250000000214307e-05,0.0000000000000000e+00,-9.4086931176082056e-01,-9.4231847139571112e-01,1.4491596348905622e-03,1.4491596348905622e-03
72,8.3333333333629987e-03,9.0833333333295296e-01,5.0000000000000003e-02,3.1250000000241432e-05,0.0000000000000000e+00,-9.6017953504440146e-01,-9.5849117129176931e-01,-1.6883637526321493e-03,1.6883637526321493e-03
73,1.6666666666727260e-02,9.1666666666632179e-01,5.0000000000000010e-02,3.1250000000245247e-05,0.0000000000000000e+00,-9.6558812680170514e-01,-9.6460205851419001e-01,-9.8606828751512943e-04,9.8606828751512943e-04
74,1.6666666666729810e-02,9.3333333333305724e-01,5.0000000000000003e-02,3.1250000000244692e-05,0.0000000000000000e+00,-9.7681091626812544e-01,-9.7680708344191280e-01,-3.8328262126352541e-06,3.8328262126352541e-06
75,8.3333333333655366e-03,9.4166666666642440e-01,5.0000000000000010e-02,3.1250000000250892e-05,0.0000000000000000e+00,-9.8225656556601837e-01,-9.8291797066433040e-01,6.6140509831202898e-04,6.6140509831202898e-04
76,8.3333333333655262e-03,9.5833333333316051e-01,5.0000000000000003e-02,3.1250000000250892e-05,0.0000000000000000e+00,-9.9204834635051298e-01,-9.9110511798163203e-01,-9.4322836888094397e-04,9.4322836888094397e-04
