cell,x,y,z,volume,initial,numerical,exact,error,absError
44,8.3333333333200005e-02,1.1666666666700000e-01,5.0000000000000003e-02,1.2500000000000000e-04,9.5105651629554189e-01,8.6697634778300003e-01,9.5105651629554178e-01,-8.4080168512541742e-02,8.4080168512541742e-02
45,6.6666666666599997e-02,1.3333333333399999e-01,5.0000000000000003e-02,1.2500000000000000e-04,9.5105651629631849e-01,8.6697634778099997e-01,9.5105651629631849e-01,-8.4080168515318521e-02,8.4080168515318521e-02
46,6.6666666666599997e-02,1.6666666666700000e-01,5.0000000000000003e-02,1.2500000000000000e-04,9.9452189536844848e-01,9.0688332155499995e-01,9.9452189536844859e-01,-8.7638573813448639e-02,8.7638573813448639e-02
47,8.3333333333299994e-02,1.8333333333400001e-01,5.0000000000000003e-02,1.2500000000000000e-04,9.9452189536785740e-01,9.3974080814399996e-01,9.9452189536785751e-01,-5.4781087223857550e-02,5.4781087223857550e-02
48,8.3333333333299994e-02,2.1666666666699999e-01,5.0000000000000003e-02,1.2500000000000000e-04,9.5105651629457122e-01,8.8350936259199997e-01,9.5105651629457100e-01,-6.7547153702571028e-02,6.7547153702571028e-02
49,6.6666666666599997e-02,2.3333333333400000e-01,5.0000000000000003e-02,1.2500000000000000e-04,9.5105651629398869e-01,8.8350936259199997e-01,9.5105651629398857e-01,-6.7547153701988605e-02,6.7547153701988605e-02
50,6.6666666666599997e-02,2.6666666666799999e-01,5.0000000000000003e-02,1.2500000000000000e-04,8.6602540378045945e-01,8.4177123196500003e-01,8.6602540378045878e-01,-2.4254171815458747e-02,2.4254171815458747e-02
51,8.3333333333299994e-02,2.8333333333400001e-01,5.0000000000000003e-02,1.2500000000000000e-04,7.4314482547473137e-01,7.6564368093900004e-01,7.4314482547473104e-01,2.2498855464268996e-02,2.2498855464268996e-02
52,8.3333333333299994e-02,3.1666666666799997e-01,5.0000000000000003e-02,1.2500000000000000e-04,5.8778525228586509e-01,5.6257183026799995e-01,5.8778525228586498e-01,-2.5213422017865028e-02,2.5213422017865028e-02
53,6.6666666666700000e-02,3.3333333333499998e-01,5.0000000000000003e-02,1.2500000000099999e-04,5.8778525228383194e-01,5.6257183026799995e-01,5.8778525228383149e-01,-2.5213422015831544e-02,2.5213422015831544e-02
