i,j,x,y,initial,numerical,change,absChange
164,0,8.2250000000000001e-01,2.5000000000000001e-03,0.0000000000000000e+00,3.0750533866799998e-10,3.0750533866799998e-10,3.0750533866799998e-10
165,0,8.2750000000000001e-01,2.5000000000000001e-03,0.0000000000000000e+00,1.7856035800900000e-10,1.7856035800900000e-10,1.7856035800900000e-10
166,0,8.3250000000000002e-01,2.5000000000000001e-03,0.0000000000000000e+00,1.0303750393400000e-10,1.0303750393400000e-10,1.0303750393400000e-10
167,0,8.3750000000000002e-01,2.5000000000000001e-03,0.0000000000000000e+00,5.9088275083499998e-11,5.9088275083499998e-11,5.9088275083499998e-11
168,0,8.4250000000000003e-01,2.5000000000000001e-03,0.0000000000000000e+00,3.3676005330299999e-11,3.3676005330299999e-11,3.3676005330299999e-11
169,0,8.4750000000000003e-01,2.5000000000000001e-03,0.0000000000000000e+00,1.9075259085400001e-11,1.9075259085400001e-11,1.9075259085400001e-11
170,0,8.5250000000000004e-01,2.5000000000000001e-03,0.0000000000000000e+00,1.0739104239600000e-11,1.0739104239600000e-11,1.0739104239600000e-11
171,0,8.5750000000000004e-01,2.5000000000000001e-03,0.0000000000000000e+00,6.0093888197599997e-12,6.0093888197599997e-12,6.0093888197599997e-12
172,0,8.6250000000000004e-01,2.5000000000000001e-03,0.0000000000000000e+00,3.3425188613899999e-12,3.3425188613899999e-12,3.3425188613899999e-12
173,0,8.6750000000000005e-01,2.5000000000000001e-03,0.0000000000000000e+00,1.8480563621400000e-12,1.8480563621400000e-12,1.8480563621400000e-12
174,0,8.7250000000000005e-01,2.5000000000000001e-03,0.0000000000000000e+00,1.0157120427300000e-12,1.0157120427300000e-12,1.0157120427300000e-12
175,0,8.7749999999999995e-01,2.5000000000000001e-03,0.0000000000000000e+00,5.5495285587300002e-13,5.5495285587300002e-13,5.5495285587300002e-13
176,0,8.8249999999999995e-01,2.5000000000000001e-03,0.0000000000000000e+00,3.0143073635400001e-13,3.0143073635400001e-13,3.0143073635400001e-13
177,0,8.8749999999999996e-01,2.5000000000000001e-03,0.0000000000000000e+00,1.6277233420600000e-13,1.6277233420600000e-13,1.6277233420600000e-13
178,0,8.9249999999999996e-01,2.5000000000000001e-03,0.0000000000000000e+00,8.7387784075600001e-14,8.7387784075600001e-14,8.7387784075600001e-14
179,0,8.9749999999999996e-01,2.5000000000000001e-03,0.0000000000000000e+00,4.6645872048099999e-14,4.6645872048099999e-14,4.6645872048099999e-14
180,0,9.0249999999999997e-01,2.5000000000000001e-03,0.0000000000000000e+00,2.4756152559400000e-14,2.4756152559400000e-14,2.4756152559400000e-14
181,0,9.0749999999999997e-01,2.5000000000000001e-03,0.0000000000000000e+00,1.3063977841399999e-14,1.3063977841399999e-14,1.3063977841399999e-14
182,0,9.1249999999999998e-01,2.5000000000000001e-03,0.0000000000000000e+00,6.8549580056100001e-15,6.8549580056100001e-15,6.8549580056100001e-15
