i,j,x,y,initial,numerical,change,absChange
18,3,3.7000000000000000e-01,7.0000000000000007e-02,0.0000000000000000e+00,5.4365746078600001e-02,5.4365746078600001e-02,5.4365746078600001e-02
19,3,3.9000000000000001e-01,7.0000000000000007e-02,0.0000000000000000e+00,5.8200731752200002e-02,5.8200731752200002e-02,5.8200731752200002e-02
20,3,4.0999999999999998e-01,7.0000000000000007e-02,0.0000000000000000e+00,6.1504432697899999e-02,6.1504432697899999e-02,6.1504432697899999e-02
21,3,4.2999999999999999e-01,7.0000000000000007e-02,0.0000000000000000e+00,6.4149351164000001e-02,6.4149351164000001e-02,6.4149351164000001e-02
22,3,4.5000000000000001e-01,7.0000000000000007e-02,0.0000000000000000e+00,6.6027983212399999e-02,6.6027983212399999e-02,6.6027983212399999e-02
23,3,4.6999999999999997e-01,7.0000000000000007e-02,0.0000000000000000e+00,6.7061561827000002e-02,6.7061561827000002e-02,6.7061561827000002e-02
24,3,4.8999999999999999e-01,7.0000000000000007e-02,0.0000000000000000e+00,6.7206455732500003e-02,6.7206455732500003e-02,6.7206455732500003e-02
25,3,5.1000000000000001e-01,7.0000000000000007e-02,0.0000000000000000e+00,6.6474014139199997e-02,6.6474014139199997e-02,6.6474014139199997e-02
26,3,5.3000000000000003e-01,7.0000000000000007e-02,0.0000000000000000e+00,6.4944611694600002e-02,6.4944611694600002e-02,6.4944611694600002e-02
27,3,5.5000000000000004e-01,7.0000000000000007e-02,0.0000000000000000e+00,6.2816284100399994e-02,6.2816284100399994e-02,6.2816284100399994e-02
28,3,5.6999999999999995e-01,7.0000000000000007e-02,0.0000000000000000e+00,6.0411080212999999e-02,6.0411080212999999e-02,6.0411080212999999e-02
29,3,5.8999999999999997e-01,7.0000000000000007e-02,0.0000000000000000e+00,5.8052024364700000e-02,5.8052024364700000e-02,5.8052024364700000e-02
30,3,6.0999999999999999e-01,7.0000000000000007e-02,0.0000000000000000e+00,5.5899184629800001e-02,5.5899184629800001e-02,5.5899184629800001e-02
31,3,6.3000000000000000e-01,7.0000000000000007e-02,0.0000000000000000e+00,5.3856254069100003e-02,5.3856254069100003e-02,5.3856254069100003e-02
32,3,6.5000000000000002e-01,7.0000000000000007e-02,0.0000000000000000e+00,5.1609021222599999e-02,5.1609021222599999e-02,5.1609021222599999e-02
