cell,x,y,numerical,exact,error,absError
154,4.5000000000000018e-01,-2.5000000000000000e-01,1.2552236876699999e-01,2.6935365996109834e-10,1.2552236849764634e-01,1.2552236849764634e-01
155,5.5000000000000004e-01,-2.5000000000000000e-01,1.1206131765600000e-01,1.1166591014509847e-11,1.1206131764483340e-01,1.1206131764483340e-01
156,6.5000000000000013e-01,-2.5000000000000000e-01,9.5055886309500001e-02,2.4492768901348821e-13,9.5055886309255072e-02,9.5055886309255072e-02
157,7.5000000000000000e-01,-2.5000000000000000e-01,7.6973251757200004e-02,2.8423313506124546e-15,7.6973251757197159e-02,7.6973251757197159e-02
158,8.5000000000000009e-01,-2.5000000000000000e-01,6.1409741461399998e-02,1.7451432091555701e-17,6.1409741461399978e-02,6.1409741461399978e-02
159,9.5000000000000018e-01,-2.5000000000000000e-01,1.3702299565199999e-01,5.6690068759495840e-20,1.3702299565199999e-01,1.3702299565199999e-01
160,-9.4999999999999996e-01,-1.4999999999999991e-01,9.9676145645599998e-02,4.8850629354973959e-18,9.9676145645599998e-02,9.9676145645599998e-02
161,-8.4999999999999998e-01,-1.4999999999999991e-01,7.8933559349600002e-02,1.5038144413527101e-15,7.8933559349598503e-02,7.8933559349598503e-02
162,-7.5000000000000000e-01,-1.4999999999999991e-01,9.0556901778099996e-02,2.4492768901348821e-13,9.0556901777855067e-02,9.0556901777855067e-02
163,-6.4999999999999991e-01,-1.4999999999999991e-01,1.1069216993900000e-01,2.1105763349006473e-11,1.1069216991789423e-01,1.1069216991789423e-01
164,-5.5000000000000004e-01,-1.4999999999999991e-01,1.3230467335200000e-01,9.6224084878539946e-10,1.3230467238975915e-01,1.3230467238975915e-01
165,-4.4999999999999996e-01,-1.4999999999999991e-01,1.5271894895300001e-01,2.3210583610310523e-08,1.5271892574241638e-01,1.5271892574241638e-01
166,-3.4999999999999998e-01,-1.4999999999999991e-01,1.6846480437799999e-01,2.9621556642558323e-07,1.6846450816243355e-01,1.6846450816243355e-01
167,-2.5000000000000000e-01,-1.4999999999999991e-01,1.7472508404400000e-01,2.0000886255231143e-06,1.7472308395537448e-01,1.7472308395537448e-01
168,-1.4999999999999991e-01,-1.4999999999999991e-01,1.6825484203400001e-01,7.1451302237635778e-06,1.6824769690377625e-01,1.6824769690377625e-01
