i,j,x,y,initial,numerical,exact,error,absError
10,4,5.2500000000000002e-01,2.2500000000000001e-01,-1.0000000000000000e+00,-2.0524287087000001e-01,-1.0000000000000000e+00,7.9475712912999996e-01,7.9475712912999996e-01
11,4,5.7499999999999996e-01,2.2500000000000001e-01,-9.5105651629515364e-01,-1.8885505026700000e-01,-9.5105651629513643e-01,7.6220146602813643e-01,7.6220146602813643e-01
12,4,6.2500000000000000e-01,2.2500000000000001e-01,-8.0901699437494756e-01,-1.5398078151399999e-01,-8.0901699437491592e-01,6.5503621286091596e-01,6.5503621286091596e-01
13,4,6.7500000000000004e-01,2.2500000000000001e-01,-5.8778525229247336e-01,-1.0403380101900001e-01,-5.8778525229242840e-01,4.8375145127342839e-01,4.8375145127342839e-01
14,4,7.2499999999999998e-01,2.2500000000000001e-01,-3.0901699437494762e-01,-4.3903267233899999e-02,-3.0901699437489566e-01,2.6511372714099568e-01,2.6511372714099568e-01
15,4,7.7500000000000002e-01,2.2500000000000001e-01,-2.4492935982947064e-16,2.0524824240000000e-02,5.4423812961537109e-14,2.0524824239945574e-02,2.0524824239945574e-02
16,4,8.2499999999999996e-01,2.2500000000000001e-01,3.0901699437494717e-01,8.2943802912400000e-02,3.0901699437500002e-01,-2.2607319146260002e-01,2.2607319146260002e-01
17,4,8.7500000000000000e-01,2.2500000000000001e-01,5.8778525229247358e-01,1.3724366425199999e-01,5.8778525229251788e-01,-4.5054158804051792e-01,4.5054158804051792e-01
18,4,9.2500000000000004e-01,2.2500000000000001e-01,8.0901699437494778e-01,1.7810915950199999e-01,8.0901699437497987e-01,-6.3090783487297986e-01,6.3090783487297986e-01
19,4,9.7499999999999998e-01,2.2500000000000001e-01,9.5105651629515353e-01,2.0154008926100000e-01,9.5105651629517041e-01,-7.4951642703417043e-01,7.4951642703417043e-01
0,5,2.5000000000000001e-02,2.7500000000000002e-01,9.5105651629515353e-01,1.8885505026700000e-01,9.5105651629513643e-01,-7.6220146602813643e-01,7.6220146602813643e-01
1,5,7.4999999999999997e-02,2.7500000000000002e-01,8.0901699437494745e-01,1.5398078151399999e-01,8.0901699437491481e-01,-6.5503621286091485e-01,6.5503621286091485e-01
2,5,1.2500000000000000e-01,2.7500000000000002e-01,5.8778525229247325e-01,1.0403380101900001e-01,5.8778525229242828e-01,-4.8375145127342828e-01,4.8375145127342828e-01
3,5,1.7499999999999999e-01,2.7500000000000002e-01,3.0901699437494751e-01,4.3903267233899999e-02,3.0901699437489638e-01,-2.6511372714099640e-01,2.6511372714099640e-01
4,5,2.2500000000000001e-01,2.7500000000000002e-01,1.2246467991473532e-16,-2.0524824240000000e-02,-5.5434456061151970e-14,-2.0524824239944565e-02,2.0524824239944565e-02
5,5,2.7500000000000002e-01,2.7500000000000002e-01,-3.0901699437494773e-01,-8.2943802912400000e-02,-3.0901699437500013e-01,2.2607319146260013e-01,2.2607319146260013e-01
6,5,3.2500000000000001e-01,2.7500000000000002e-01,-5.8778525229247336e-01,-1.3724366425199999e-01,-5.8778525229251799e-01,4.5054158804051803e-01,4.5054158804051803e-01
7,5,3.7500000000000000e-01,2.7500000000000002e-01,-8.0901699437494734e-01,-1.7810915950199999e-01,-8.0901699437497998e-01,6.3090783487297997e-01,6.3090783487297997e-01
8,5,4.2499999999999999e-01,2.7500000000000002e-01,-9.5105651629515353e-01,-2.0154008926100000e-01,-9.5105651629517018e-01,7.4951642703417021e-01,7.4951642703417021e-01
9,5,4.7499999999999998e-01,2.7500000000000002e-01,-1.0000000000000000e+00,-2.0524287087000001e-01,-1.0000000000000000e+00,7.9475712912999996e-01,7.9475712912999996e-01
10,5,5.2500000000000002e-01,2.7500000000000002e-01,-9.5105651629515364e-01,-1.8885505026700000e-01,-9.5105651629513643e-01,7.6220146602813643e-01,7.6220146602813643e-01
11,5,5.7499999999999996e-01,2.7500000000000002e-01,-8.0901699437494756e-01,-1.5398078151399999e-01,-8.0901699437491592e-01,6.5503621286091596e-01,6.5503621286091596e-01
12,5,6.2500000000000000e-01,2.7500000000000002e-01,-5.8778525229247336e-01,-1.0403380101900001e-01,-5.8778525229242840e-01,4.8375145127342839e-01,4.8375145127342839e-01
13,5,6.7500000000000004e-01,2.7500000000000002e-01,-3.0901699437494762e-01,-4.3903267233899999e-02,-3.0901699437489566e-01,2.6511372714099568e-01,2.6511372714099568e-01
14,5,7.2499999999999998e-01,2.7500000000000002e-01,-2.4492935982947064e-16,2.0524824240000000e-02,5.4423812961537109e-14,2.0524824239945574e-02,2.0524824239945574e-02
15,5,7.7500000000000002e-01,2.7500000000000002e-01,3.0901699437494717e-01,8.2943802912400000e-02,3.0901699437500002e-01,-2.2607319146260002e-01,2.2607319146260002e-01
16,5,8.2499999999999996e-01,2.7500000000000002e-01,5.8778525229247358e-01,1.3724366425199999e-01,5.8778525229251788e-01,-4.5054158804051792e-01,4.5054158804051792e-01
17,5,8.7500000000000000e-01,2.7500000000000002e-01,8.0901699437494679e-01,1.7810915950199999e-01,8.0901699437497943e-01,-6.3090783487297941e-01,6.3090783487297941e-01
18,5,9.2500000000000004e-01,2.7500000000000002e-01,9.5105651629515375e-01,2.0154008926100000e-01,9.5105651629517096e-01,-7.4951642703417098e-01,7.4951642703417098e-01
19,5,9.7499999999999998e-01,2.7500000000000002e-01,1.0000000000000000e+00,2.0524287087000001e-01,1.0000000000000000e+00,-7.9475712912999996e-01,7.9475712912999996e-01
0,6,2.5000000000000001e-02,3.2500000000000001e-01,8.0901699437494745e-01,1.5398078151399999e-01,8.0901699437491481e-01,-6.5503621286091485e-01,6.5503621286091485e-01
1,6,7.4999999999999997e-02,3.2500000000000001e-01,5.8778525229247325e-01,1.0403380101900001e-01,5.8778525229242828e-01,-4.8375145127342828e-01,4.8375145127342828e-01
2,6,1.2500000000000000e-01,3.2500000000000001e-01,3.0901699437494751e-01,4.3903267233899999e-02,3.0901699437489638e-01,-2.6511372714099640e-01,2.6511372714099640e-01
3,6,1.7499999999999999e-01,3.2500000000000001e-01,1.2246467991473532e-16,-2.0524824240000000e-02,-5.5434456061151970e-14,-2.0524824239944565e-02,2.0524824239944565e-02
4,6,2.2500000000000001e-01,3.2500000000000001e-01,-3.0901699437494773e-01,-8.2943802912400000e-02,-3.0901699437500013e-01,2.2607319146260013e-01,2.2607319146260013e-01
5,6,2.7500000000000002e-01,3.2500000000000001e-01,-5.8778525229247336e-01,-1.3724366425199999e-01,-5.8778525229251799e-01,4.5054158804051803e-01,4.5054158804051803e-01
6,6,3.2500000000000001e-01,3.2500000000000001e-01,-8.0901699437494734e-01,-1.7810915950199999e-01,-8.0901699437497998e-01,6.3090783487297997e-01,6.3090783487297997e-01
7,6,3.7500000000000000e-01,3.2500000000000001e-01,-9.5105651629515353e-01,-2.0154008926100000e-01,-9.5105651629517018e-01,7.4951642703417021e-01,7.4951642703417021e-01
8,6,4.2499999999999999e-01,3.2500000000000001e-01,-1.0000000000000000e+00,-2.0524287087000001e-01,-1.0000000000000000e+00,7.9475712912999996e-01,7.9475712912999996e-01
9,6,4.7499999999999998e-01,3.2500000000000001e-01,-9.5105651629515364e-01,-1.8885505026700000e-01,-9.5105651629513643e-01,7.6220146602813643e-01,7.6220146602813643e-01
10,6,5.2500000000000002e-01,3.2500000000000001e-01,-8.0901699437494701e-01,-1.5398078151399999e-01,-8.0901699437491492e-01,6.5503621286091496e-01,6.5503621286091496e-01
11,6,5.7499999999999996e-01,3.2500000000000001e-01,-5.8778525229247403e-01,-1.0403380101900001e-01,-5.8778525229242906e-01,4.8375145127342906e-01,4.8375145127342906e-01
12,6,6.2500000000000000e-01,3.2500000000000001e-01,-3.0901699437494762e-01,-4.3903267233899999e-02,-3.0901699437489566e-01,2.6511372714099568e-01,2.6511372714099568e-01
13,6,6.7500000000000004e-01,3.2500000000000001e-01,-2.4492935982947064e-16,2.0524824240000000e-02,5.4423812961537109e-14,2.0524824239945574e-02,2.0524824239945574e-02
14,6,7.2499999999999998e-01,3.2500000000000001e-01,3.0901699437494717e-01,8.2943802912400000e-02,3.0901699437500002e-01,-2.2607319146260002e-01,2.2607319146260002e-01
15,6,7.7500000000000002e-01,3.2500000000000001e-01,5.8778525229247358e-01,1.3724366425199999e-01,5.8778525229251788e-01,-4.5054158804051792e-01,4.5054158804051792e-01
16,6,8.2499999999999996e-01,3.2500000000000001e-01,8.0901699437494679e-01,1.7810915950199999e-01,8.0901699437497943e-01,-6.3090783487297941e-01,6.3090783487297941e-01
17,6,8.7500000000000000e-01,3.2500000000000001e-01,9.5105651629515353e-01,2.0154008926100000e-01,9.5105651629517041e-01,-7.4951642703417043e-01,7.4951642703417043e-01
18,6,9.2500000000000004e-01,3.2500000000000001e-01,1.0000000000000000e+00,2.0524287087000001e-01,1.0000000000000000e+00,-7.9475712912999996e-01,7.9475712912999996e-01
