cell,x,y,numerical,exact,error,absError
63,-1.5000000000000000e+00,1.5000000000000000e+00,2.2594591494900000e-02,4.6035580282165367e-02,-2.3440988787265367e-02,2.3440988787265367e-02
64,-5.0000000000000000e-01,1.5000000000000000e+00,1.2561122552500001e-01,1.6661567347405470e-01,-4.1004447949054695e-02,4.1004447949054695e-02
65,5.0000000000000000e-01,1.5000000000000000e+00,1.2561122552500001e-01,1.6661567347405470e-01,-4.1004447949054695e-02,4.1004447949054695e-02
66,1.5000000000000000e+00,1.5000000000000000e+00,2.2594591494900000e-02,4.6035580282165367e-02,-2.3440988787265367e-02,2.3440988787265367e-02
67,2.5000000000000000e+00,1.5000000000000000e+00,2.1625788803099999e-03,1.8994948545563287e-03,2.6308402575367113e-04,2.6308402575367113e-04
68,3.5000000000000000e+00,1.5000000000000000e+00,1.3981071808800001e-04,8.2848533103191979e-06,1.3152586477768082e-04,1.3152586477768082e-04
69,4.5000000000000000e+00,1.5000000000000000e+00,7.0581822264600000e-06,3.3582151755495156e-09,7.0548240112844503e-06,7.0548240112844503e-06
70,-4.5000000000000000e+00,2.5000000000000000e+00,6.6584145240400005e-07,1.3856483197020840e-10,6.6570288757202986e-07,6.6570288757202986e-07
71,-3.5000000000000000e+00,2.5000000000000000e+00,1.3255726933900000e-05,3.4184507151313057e-07,1.2913881862386869e-05,1.2913881862386869e-05
72,-2.5000000000000000e+00,2.5000000000000000e+00,2.0602180791700001e-04,7.8375914463790831e-05,1.2764589345320916e-04,1.2764589345320916e-04
73,-1.5000000000000000e+00,2.5000000000000000e+00,2.1625788803099999e-03,1.8994948545563287e-03,2.6308402575367113e-04,2.6308402575367113e-04
74,-5.0000000000000000e-01,2.5000000000000000e+00,1.2074566775900001e-02,6.8748044993149340e-03,5.1997622765850666e-03,5.1997622765850666e-03
75,5.0000000000000000e-01,2.5000000000000000e+00,1.2074566775900001e-02,6.8748044993149340e-03,5.1997622765850666e-03,5.1997622765850666e-03
76,1.5000000000000000e+00,2.5000000000000000e+00,2.1625788803099999e-03,1.8994948545563287e-03,2.6308402575367113e-04,2.6308402575367113e-04
77,2.5000000000000000e+00,2.5000000000000000e+00,2.0602180791700001e-04,7.8375914463790831e-05,1.2764589345320916e-04,1.2764589345320916e-04
78,3.5000000000000000e+00,2.5000000000000000e+00,1.3255726933900000e-05,3.4184507151313057e-07,1.2913881862386869e-05,1.2913881862386869e-05
79,4.5000000000000000e+00,2.5000000000000000e+00,6.6584145240400005e-07,1.3856483197020840e-10,6.6570288757202986e-07,6.6570288757202986e-07
80,-4.5000000000000000e+00,3.5000000000000000e+00,4.2412144436500002e-08,6.0436557861081649e-13,4.2411540070921389e-08,4.2411540070921389e-08
81,-3.5000000000000000e+00,3.5000000000000000e+00,8.4871704611200001e-07,1.4909944428374741e-09,8.4722605166916256e-07,8.4722605166916256e-07
82,-2.5000000000000000e+00,3.5000000000000000e+00,1.3255726933900000e-05,3.4184507151313057e-07,1.2913881862386869e-05,1.2913881862386869e-05
83,-1.5000000000000000e+00,3.5000000000000000e+00,1.3981071808800001e-04,8.2848533103191979e-06,1.3152586477768082e-04,1.3152586477768082e-04
84,-5.0000000000000000e-01,3.5000000000000000e+00,7.8408772777500003e-04,2.9985207213025176e-05,7.5410252056197480e-04,7.5410252056197480e-04
85,5.0000000000000000e-01,3.5000000000000000e+00,7.8408772777500003e-04,2.9985207213025176e-05,7.5410252056197480e-04,7.5410252056197480e-04
86,1.5000000000000000e+00,3.5000000000000000e+00,1.3981071808800001e-04,8.2848533103191979e-06,1.3152586477768082e-04,1.3152586477768082e-04
87,2.5000000000000000e+00,3.5000000000000000e+00,1.3255726933900000e-05,3.4184507151313057e-07,1.2913881862386869e-05,1.2913881862386869e-05
88,3.5000000000000000e+00,3.5000000000000000e+00,8.4871704611200001e-07,1.4909944428374741e-09,8.4722605166916256e-07,8.4722605166916256e-07
89,4.5000000000000000e+00,3.5000000000000000e+00,4.2412144436500002e-08,6.0436557861081649e-13,4.2411540070921389e-08,4.2411540070921389e-08
90,-4.5000000000000000e+00,4.5000000000000000e+00,2.1079679035500001e-09,2.4497593157656187e-16,2.1079676585740685e-09,2.1079676585740685e-09
91,-3.5000000000000000e+00,4.5000000000000000e+00,4.2412144436500002e-08,6.0436557861081649e-13,4.2411540070921389e-08,4.2411540070921389e-08
92,-2.5000000000000000e+00,4.5000000000000000e+00,6.6584145240400005e-07,1.3856483197020840e-10,6.6570288757202986e-07,6.6570288757202986e-07
93,-1.5000000000000000e+00,4.5000000000000000e+00,7.0581822264600000e-06,3.3582151755495156e-09,7.0548240112844503e-06,7.0548240112844503e-06
94,-5.0000000000000000e-01,4.5000000000000000e+00,3.9768743052499998e-05,1.2154322367947674e-08,3.9756588730132052e-05,3.9756588730132052e-05
95,5.0000000000000000e-01,4.5000000000000000e+00,3.9768743052499998e-05,1.2154322367947674e-08,3.9756588730132052e-05,3.9756588730132052e-05
96,1.5000000000000000e+00,4.5000000000000000e+00,7.0581822264600000e-06,3.3582151755495156e-09,7.0548240112844503e-06,7.0548240112844503e-06
97,2.5000000000000000e+00,4.5000000000000000e+00,6.6584145240400005e-07,1.3856483197020840e-10,6.6570288757202986e-07,6.6570288757202986e-07
98,3.5000000000000000e+00,4.5000000000000000e+00,4.2412144436500002e-08,6.0436557861081649e-13,4.2411540070921389e-08,4.2411540070921389e-08
99,4.5000000000000000e+00,4.5000000000000000e+00,2.1079679035500001e-09,2.4497593157656187e-16,2.1079676585740685e-09,2.1079676585740685e-09
