cell,x,y,numerical,exact,error,absError
115,4.4375000000000003e-01,1.8750000000000003e-02,2.2917275808800001e-17,1.1958244084288306e-35,2.2917275808800001e-17,2.2917275808800001e-17
116,4.5625000000000004e-01,1.8750000000000003e-02,2.2917275808800001e-17,8.0133590371955550e-36,2.2917275808800001e-17,2.2917275808800001e-17
117,4.6875000000000000e-01,1.8750000000000003e-02,2.2917275808800001e-17,4.0190689669263892e-36,2.2917275808800001e-17,2.2917275808800001e-17
118,4.8125000000000001e-01,1.8750000000000003e-02,2.2917275808800001e-17,-1.8819768059672166e-50,2.2917275808800001e-17,2.2917275808800001e-17
119,4.9375000000000002e-01,1.8750000000000003e-02,2.2917275808800001e-17,-4.0190689669264273e-36,2.2917275808800001e-17,2.2917275808800001e-17
120,5.0624999999999998e-01,1.8750000000000003e-02,2.2917275808800001e-17,-8.0133590371955924e-36,2.2917275808800001e-17,2.2917275808800001e-17
121,5.1875000000000004e-01,1.8750000000000003e-02,2.2917275808800001e-17,-1.1958244084288344e-35,2.2917275808800001e-17,2.2917275808800001e-17
122,5.3125000000000000e-01,1.8750000000000003e-02,2.2917275808800001e-17,-1.5829402580081603e-35,2.2917275808800001e-17,2.2917275808800001e-17
123,5.4375000000000007e-01,1.8750000000000003e-02,2.2917275808800001e-17,-1.9602967545158236e-35,2.2917275808800001e-17,2.2917275808800001e-17
124,5.5625000000000002e-01,1.8750000000000003e-02,2.2917275808800001e-17,-2.3255673696670781e-35,2.2917275808800001e-17,2.2917275808800001e-17
125,5.6874999999999998e-01,1.8750000000000003e-02,2.2917275808800001e-17,-2.6765000886547021e-35,2.2917275808800001e-17,2.2917275808800001e-17
126,5.8125000000000004e-01,1.8750000000000003e-02,2.2917275808800001e-17,-3.0109312945691827e-35,2.2917275808800001e-17,2.2917275808800001e-17
127,5.9375000000000000e-01,1.8750000000000003e-02,2.2917275808800001e-17,-3.3267991078163876e-35,2.2917275808800001e-17,2.2917275808800001e-17
128,6.0625000000000007e-01,1.8750000000000003e-02,2.2917275808800001e-17,-3.6221560982909409e-35,2.2917275808800001e-17,2.2917275808800001e-17
129,6.1875000000000002e-01,1.8750000000000003e-02,2.2917275808800001e-17,-3.8951812919304021e-35,2.2917275808800001e-17,2.2917275808800001e-17
130,6.3125000000000009e-01,1.8750000000000003e-02,2.2917275808800001e-17,-4.1441913976258879e-35,2.2917275808800001e-17,2.2917275808800001e-17
131,6.4375000000000004e-01,1.8750000000000003e-02,2.2917275808800001e-17,-4.3676511852715338e-35,2.2917275808800001e-17,2.2917275808800001e-17
132,6.5625000000000000e-01,1.8750000000000003e-02,2.2917275808800001e-17,-4.5641829509685789e-35,2.2917275808800001e-17,2.2917275808800001e-17
133,6.6875000000000007e-01,1.8750000000000003e-02,2.2917275808800001e-17,-4.7325750110280542e-35,2.2917275808800001e-17,2.2917275808800001e-17
134,6.8125000000000002e-01,1.8750000000000003e-02,2.2917275808800001e-17,-4.8717891724036603e-35,2.2917275808800001e-17,2.2917275808800001e-17
135,6.9375000000000009e-01,1.8750000000000003e-02,2.2917275808800001e-17,-4.9809671334970984e-35,2.2917275808800001e-17,2.2917275808800001e-17
136,7.0625000000000004e-01,1.8750000000000003e-02,2.2917275808800001e-17,-5.0594357758728798e-35,2.2917275808800001e-17,2.2917275808800001e-17
137,7.1875000000000000e-01,1.8750000000000003e-02,2.2917275808800001e-17,-5.1067113142572826e-35,2.2917275808800001e-17,2.2917275808800001e-17
