cell,x,y,z,volume,initial,numerical,change,absChange
4991,2.4333333333400001e-01,9.5666666666699995e-01,5.0000000000000003e-02,5.0000000000399998e-06,0.0000000000000000e+00,3.7134638753100000e-03,3.7134638753100000e-03,3.7134638753100000e-03
4992,2.4333333333400001e-01,9.6333333333299997e-01,5.0000000000000003e-02,5.0000000000399998e-06,0.0000000000000000e+00,2.2866194632500001e-03,2.2866194632500001e-03,2.2866194632500001e-03
4993,2.4666666666800000e-01,9.6666666666699996e-01,5.0000000000000003e-02,5.0000000000399998e-06,0.0000000000000000e+00,2.3709075548999999e-03,2.3709075548999999e-03,2.3709075548999999e-03
4994,2.4666666666800000e-01,9.7333333333299998e-01,5.0000000000000003e-02,5.0000000000399998e-06,0.0000000000000000e+00,1.4489547504899999e-03,1.4489547504899999e-03,1.4489547504899999e-03
4995,2.4333333333400001e-01,9.7666666666699997e-01,5.0000000000000003e-02,5.0000000000399998e-06,0.0000000000000000e+00,7.6477356571799996e-04,7.6477356571799996e-04,7.6477356571799996e-04
4996,2.4333333333400001e-01,9.8333333333299999e-01,5.0000000000000003e-02,5.0000000000399998e-06,0.0000000000000000e+00,2.5691703054900002e-04,2.5691703054900002e-04,2.5691703054900002e-04
4997,2.4666666666800000e-01,9.8666666666699998e-01,5.0000000000000003e-02,5.0000000000399998e-06,0.0000000000000000e+00,2.6587038147300003e-04,2.6587038147300003e-04,2.6587038147300003e-04
4998,2.4666666666800000e-01,9.9333333333300000e-01,5.0000000000000003e-02,5.0000000000399998e-06,0.0000000000000000e+00,6.6830027739300002e-05,6.6830027739300002e-05,6.6830027739300002e-05
4999,2.4333333333400001e-01,9.9666666666699999e-01,5.0000000000000003e-02,5.0000000000399998e-06,0.0000000000000000e+00,3.0713739707700002e-05,3.0713739707700002e-05,3.0713739707700002e-05
5000,2.5666666666600002e-01,3.3333333333400001e-03,5.0000000000000003e-02,5.0000000000000004e-06,0.0000000000000000e+00,4.0037914316799999e-04,4.0037914316799999e-04,4.0037914316799999e-04
5001,2.5333333333300001e-01,6.6666666666800002e-03,5.0000000000000003e-02,5.0000000000000004e-06,0.0000000000000000e+00,2.5659041675300001e-04,2.5659041675300001e-04,2.5659041675300001e-04
5002,2.5333333333300001e-01,1.3333333333400000e-02,5.0000000000000003e-02,5.0000000000000004e-06,0.0000000000000000e+00,1.9207055015599999e-04,1.9207055015599999e-04,1.9207055015599999e-04
5003,2.5666666666600002e-01,1.6666666666700001e-02,5.0000000000000003e-02,5.0000000000000004e-06,0.0000000000000000e+00,3.2816667027900002e-04,3.2816667027900002e-04,3.2816667027900002e-04
5004,2.5666666666600002e-01,2.3333333333400000e-02,5.0000000000000003e-02,5.0000000000000004e-06,0.0000000000000000e+00,4.3073745801500000e-04,4.3073745801500000e-04,4.3073745801500000e-04
5005,2.5333333333300001e-01,2.6666666666699999e-02,5.0000000000000003e-02,5.0000000000000004e-06,0.0000000000000000e+00,4.1639103473499998e-04,4.1639103473499998e-04,4.1639103473499998e-04
5006,2.5333333333300001e-01,3.3333333333400002e-02,5.0000000000000003e-02,5.0000000000000004e-06,0.0000000000000000e+00,4.8261722380200001e-04,4.8261722380200001e-04,4.8261722380200001e-04
5007,2.5666666666600002e-01,3.6666666666799998e-02,5.0000000000000003e-02,5.0000000000000004e-06,0.0000000000000000e+00,7.5027874421500001e-04,7.5027874421500001e-04,7.5027874421500001e-04
5008,2.5666666666600002e-01,4.3333333333399997e-02,5.0000000000000003e-02,5.0000000000000004e-06,0.0000000000000000e+00,9.1806972328700004e-04,9.1806972328700004e-04,9.1806972328700004e-04
5009,2.5333333333300001e-01,4.6666666666800000e-02,5.0000000000000003e-02,5.0000000000000004e-06,0.0000000000000000e+00,8.8587890541599998e-04,8.8587890541599998e-04,8.8587890541599998e-04
5010,2.5333333333300001e-01,5.3333333333500002e-02,5.0000000000000003e-02,5.0000000000000004e-06,0.0000000000000000e+00,9.8492570305699998e-04,9.8492570305699998e-04,9.8492570305699998e-04
5011,2.5666666666600002e-01,5.6666666666800002e-02,5.0000000000000003e-02,5.0000000000000004e-06,0.0000000000000000e+00,1.4291996080300000e-03,1.4291996080300000e-03,1.4291996080300000e-03
5012,2.5666666666600002e-01,6.3333333333499997e-02,5.0000000000000003e-02,5.0000000000000004e-06,0.0000000000000000e+00,1.6503235141000000e-03,1.6503235141000000e-03,1.6503235141000000e-03
5013,2.5333333333300001e-01,6.6666666666800004e-02,5.0000000000000003e-02,5.0000000000000004e-06,0.0000000000000000e+00,1.5897668046000000e-03,1.5897668046000000e-03,1.5897668046000000e-03
5014,2.5333333333300001e-01,7.3333333333500006e-02,5.0000000000000003e-02,5.0000000000000004e-06,0.0000000000000000e+00,1.7091472910700000e-03,1.7091472910700000e-03,1.7091472910700000e-03
5015,2.5666666666600002e-01,7.6666666666900002e-02,5.0000000000000003e-02,5.0000000000000004e-06,0.0000000000000000e+00,2.3874990768900000e-03,2.3874990768900000e-03,2.3874990768900000e-03
5016,2.5666666666600002e-01,8.3333333333500001e-02,5.0000000000000003e-02,5.0000000000000004e-06,0.0000000000000000e+00,2.6460074467299999e-03,2.6460074467299999e-03,2.6460074467299999e-03
5017,2.5333333333300001e-01,8.6666666666899997e-02,5.0000000000000003e-02,5.0000000000000004e-06,0.0000000000000000e+00,2.5451503781099998e-03,2.5451503781099998e-03,2.5451503781099998e-03
5018,2.5333333333300001e-01,9.3333333333599999e-02,5.0000000000000003e-02,5.0000000000000004e-06,0.0000000000000000e+00,2.6735443106000001e-03,2.6735443106000001e-03,2.6735443106000001e-03
5019,2.5666666666600002e-01,9.6666666666900006e-02,5.0000000000000003e-02,5.0000000000000004e-06,0.0000000000000000e+00,3.6949956029100001e-03,3.6949956029100001e-03,3.6949956029100001e-03
5020,2.5666666666600002e-01,1.0333333333399999e-01,5.0000000000000003e-02,5.0000000000000004e-06,0.0000000000000000e+00,3.9889801390000004e-03,3.9889801390000004e-03,3.9889801390000004e-03
5021,2.5333333333300001e-01,1.0666666666700000e-01,5.0000000000000003e-02,5.0000000000000004e-06,0.0000000000000000e+00,3.8321662410200001e-03,3.8321662410200001e-03,3.8321662410200001e-03
5022,2.5333333333300001e-01,1.1333333333400000e-01,5.0000000000000003e-02,5.0000000000000004e-06,0.0000000000000000e+00,3.9654969840699997e-03,3.9654969840699997e-03,3.9654969840699997e-03
5023,2.5666666666600002e-01,1.1666666666700000e-01,5.0000000000000003e-02,5.0000000000000004e-06,0.0000000000000000e+00,5.4928473143500004e-03,5.4928473143500004e-03,5.4928473143500004e-03
5024,2.5666666666600002e-01,1.2333333333400000e-01,5.0000000000000003e-02,5.0000000000000004e-06,0.0000000000000000e+00,5.8124517459100002e-03,5.8124517459100002e-03,5.8124517459100002e-03
5025,2.5333333333300001e-01,1.2666666666699999e-01,5.0000000000000003e-02,5.0000000000000004e-06,0.0000000000000000e+00,5.5782531673699998e-03,5.5782531673699998e-03,5.5782531673699998e-03
5026,2.5333333333300001e-01,1.3333333333399999e-01,5.0000000000000003e-02,5.0000000000000004e-06,0.0000000000000000e+00,5.7035246651700004e-03,5.7035246651700004e-03,5.7035246651700004e-03
5027,2.5666666666600002e-01,1.3666666666700000e-01,5.0000000000000003e-02,5.0000000000000004e-06,0.0000000000000000e+00,7.9117961158099992e-03,7.9117961158099992e-03,7.9117961158099992e-03
5028,2.5666666666600002e-01,1.4333333333400000e-01,5.0000000000000003e-02,5.0000000000000004e-06,0.0000000000000000e+00,8.2044315948799993e-03,8.2044315948799993e-03,8.2044315948799993e-03
5029,2.5333333333300001e-01,1.4666666666700001e-01,5.0000000000000003e-02,5.0000000000000004e-06,0.0000000000000000e+00,7.8681191287199997e-03,7.8681191287199997e-03,7.8681191287199997e-03
5030,2.5333333333300001e-01,1.5333333333400001e-01,5.0000000000000003e-02,5.0000000000000004e-06,0.0000000000000000e+00,7.9497836542399992e-03,7.9497836542399992e-03,7.9497836542399992e-03
5031,2.5666666666600002e-01,1.5666666666699999e-01,5.0000000000000003e-02,5.0000000000000004e-06,0.0000000000000000e+00,1.0993309998100000e-02,1.0993309998100000e-02,1.0993309998100000e-02
5032,2.5666666666600002e-01,1.6333333333399999e-01,5.0000000000000003e-02,5.0000000000000004e-06,0.0000000000000000e+00,1.1161261416500000e-02,1.1161261416500000e-02,1.1161261416500000e-02
5033,2.5333333333300001e-01,1.6666666666700000e-01,5.0000000000000003e-02,5.0000000000000004e-06,0.0000000000000000e+00,1.0701376249600001e-02,1.0701376249600001e-02,1.0701376249600001e-02
5034,2.5333333333300001e-01,1.7333333333400000e-01,5.0000000000000003e-02,5.0000000000000004e-06,0.0000000000000000e+00,1.0688279555600000e-02,1.0688279555600000e-02,1.0688279555600000e-02
5035,2.5666666666600002e-01,1.7666666666700001e-01,5.0000000000000003e-02,5.0000000000000004e-06,0.0000000000000000e+00,1.4690854212100000e-02,1.4690854212100000e-02,1.4690854212100000e-02
5036,2.5666666666600002e-01,1.8333333333400001e-01,5.0000000000000003e-02,5.0000000000000004e-06,0.0000000000000000e+00,1.4614436229300001e-02,1.4614436229300001e-02,1.4614436229300001e-02
5037,2.5333333333300001e-01,1.8666666666699999e-01,5.0000000000000003e-02,5.0000000000000004e-06,0.0000000000000000e+00,1.4021170076900000e-02,1.4021170076900000e-02,1.4021170076900000e-02
5038,2.5333333333300001e-01,1.9333333333399999e-01,5.0000000000000003e-02,5.0000000000000004e-06,0.0000000000000000e+00,1.3862634333099999e-02,1.3862634333099999e-02,1.3862634333099999e-02
5039,2.5666666666600002e-01,1.9666666666700000e-01,5.0000000000000003e-02,5.0000000000000004e-06,0.0000000000000000e+00,1.8910908448500002e-02,1.8910908448500002e-02,1.8910908448500002e-02
5040,2.5666666666600002e-01,2.0333333333400000e-01,5.0000000000000003e-02,5.0000000000000004e-06,0.0000000000000000e+00,1.8477314578400000e-02,1.8477314578400000e-02,1.8477314578400000e-02
5041,2.5333333333300001e-01,2.0666666666700001e-01,5.0000000000000003e-02,5.0000000000000004e-06,0.0000000000000000e+00,1.7762276383400000e-02,1.7762276383400000e-02,1.7762276383400000e-02
5042,2.5333333333300001e-01,2.1333333333400001e-01,5.0000000000000003e-02,5.0000000000000004e-06,0.0000000000000000e+00,1.7423231438000002e-02,1.7423231438000002e-02,1.7423231438000002e-02
5043,2.5666666666600002e-01,2.1666666666699999e-01,5.0000000000000003e-02,5.0000000000099996e-06,0.0000000000000000e+00,2.3567309736400002e-02,2.3567309736400002e-02,2.3567309736400002e-02
5044,2.5666666666600002e-01,2.2333333333399999e-01,5.0000000000000003e-02,5.0000000000000004e-06,0.0000000000000000e+00,2.2703248098900002e-02,2.2703248098900002e-02,2.2703248098900002e-02
